Player,FG%-Col,2P%-Col,3P%-Col,FT%-Col,TS%-Col,eFG%-Col,3PAr-Col,FTr-Col,PTS/G-Col,FG%-NBA,2P%-NBA,3P%-NBA,FT%-NBA,TS%-NBA,eFG%-NBA,PTS/G-NBA
Jayson Tatum,45.2,50.4,34.2,84.9,56.6,50.7,32.1,38.1,16.8,47.5,49.2,43.4,82.6,58.6,53.8,13.9
Donovan Mitchell,41.8,49.7,32.9,78.8,53.2,49.5,47,26,11.7,43.7,50.2,34,80.5,54.1,50.6,20.5
Kyle Kuzma,50.6,56.7,30.2,63.3,56,54.1,23,36.7,10.1,45,51.1,36.6,70.7,54.9,52.7,16.1
Josh Hart,51.1,59.2,38.9,72,61.4,58.9,40.1,37.7,13.2,46.9,55.1,39.6,70.2,59.6,57.3,7.9
Lauri Markkanen,49.2,54.5,42.3,83.5,63.5,58.4,43.4,43.6,15.6,43.4,49.7,36.2,84.3,55.2,51.8,15.2
OG Anunoby,56.3,65.2,36.5,52.2,60.9,62,31.1,37.8,6.8,47.1,60.4,37.1,62.9,58.7,57.7,5.9
Luke Kennard,46.1,52.6,38.3,86.7,60,54.8,45.5,34.9,15.7,44.3,46.3,41.5,85.5,56,53,7.6
Lonzo Ball,55.1,73.2,41.2,67.3,67.3,66.8,56.6,28.6,14.6,36,42,30.5,45.1,44.4,44,10.2
Dillon Brooks,47.2,51.8,36.2,79.4,56.5,52.6,29.5,30.9,14.8,44,48.4,35.6,74.7,53.1,50.1,11
Tyler Dorsey,45.5,49.3,41.6,73.2,59.1,55.8,49.6,39.2,14.1,37.7,39.3,36.2,71.4,49.4,47.1,7.2
Malik Monk,45,49.7,39.7,82.2,58.6,54.3,47,32.3,19.8,36,38.5,34.2,84.2,47.7,45.8,6.7
Dennis Smith,45.5,50.9,35.9,71.5,56.3,52,36.4,47.6,18.1,39.5,43.6,31.3,69.4,47.3,44.7,15.2
Malcolm Brogdon,43,46.6,36.5,87.6,55.6,49.6,36.2,34.5,13.3,46.9,50.3,39.5,87.2,56.5,53.1,11.3
Jamal Murray,45.4,50.2,40.8,78.3,59,55.9,51.5,28.3,20,43.2,48.8,35.9,89.8,55.3,51,13.3
Jaylen Brown,43.1,48.2,29.4,65.4,51.8,47.1,27,57.4,14.6,46.1,50.7,37.9,65.8,55.4,52.9,10.4
Buddy Hield,44.8,50.8,39,83.6,58.4,54.8,51.1,25.7,17.4,43.7,45.9,41.2,86,55,53.2,12
Caris LeVert,43.4,45.6,40.1,77,55.2,51.4,39.6,31.4,10.4,44,50.6,33.6,71.4,53.5,50.5,10.4
Denzel Valentine,44.2,47.6,40.8,77.9,56.9,54.4,49.7,21.8,11.4,39.9,43.4,37.4,75.4,51.7,50.6,8
Taurean Prince,46,50.4,37.6,71.8,55.7,52.4,34,34.9,10.2,42,45.6,37.4,82.5,54.1,50.3,10.6
Karl-Anthony Towns,56.6,57.7,25,81.3,62.7,57,3.1,52.3,10.3,54.3,57.5,38.7,83.6,61.8,57.6,21.6
Josh Richardson,45.6,51.6,31.8,75.8,54.2,50.4,30.6,31.2,9.2,43.4,47.3,37.6,78.7,53.6,51,10.3
Frank Kaminsky,52.2,58,36.9,76.3,60.9,57.3,27.5,38.4,10.1,41.2,45.7,34.7,76.5,52,48.3,10
Terry Rozier,40.8,44.7,33.1,77.2,50.7,46.3,33.7,30.3,12,37.7,39.5,35.5,77.3,48.8,45.9,7.2
Devin Booker,47,52.7,41.1,82.8,60,57.1,49.1,22.3,10,42.6,45.5,36.5,84.9,54.2,48.5,19.8
D'Angelo Russell,44.9,47.9,41.1,75.6,57.3,54.1,44.9,30.3,19.3,40.9,45.5,34.4,75.4,51.1,48,14.6
Andrew Wiggins,44.8,49.3,34.1,77.5,56.3,49.9,29.9,53.8,17.1,44.7,47.2,33,74.1,52.6,47.6,19.7
Jordan Clarkson,44,48.5,32.2,80.5,54.8,48.4,27.4,45.3,15.4,44.3,48.8,33.9,80.7,52.7,49.4,14.1
Nik Stauskas,46.7,50,44.1,83.2,63.8,59.1,56.4,42.1,14.1,38.6,43.5,34.9,80.1,52.4,48.6,7
Doug McDermott,55,58.7,45.8,83.1,65.2,61.6,28.8,34.5,21.7,45.2,48.5,40.3,82.2,56,53.5,7.9
Marcus Smart,41.3,48.8,29.5,75.1,54.2,47,38.8,61.2,16.6,36,42.2,29.3,75.6,48,43.1,9.4
Gary Harris,44,50.3,37.6,78.8,57.1,53.3,49.5,30.6,14.9,46.9,53.9,37.1,80.3,57.4,54.6,12.3
Rodney Hood,45.5,49.9,39.6,77.3,56.9,53.9,42.6,25.2,13.3,41.9,46.1,36.9,82.8,53.6,50.3,13
Zach LaVine,44.1,49.4,37.5,69.1,54.5,52.4,44.4,23.6,9.4,43.7,47,37.3,82,54,50.1,14
Joe Harris,44.5,48.4,40.7,72.2,57.7,54.8,50.6,32.4,12.6,45.9,54.8,40,77.4,59.8,57.9,7.6
Spencer Dinwiddie,42,44.6,38.6,83,59.9,50.4,43.2,73.3,13,38.7,44.6,31.5,79.8,52,45.8,8.9
Otto Porter,49.8,55,35.5,75.1,58.5,54.5,26.4,41,12.8,48.7,53.4,40.4,78.9,58.3,56.1,10.5
C.J. McCollum,43.9,47,37.7,82.5,56.3,50.1,33,42.3,21.3,45.4,47.6,40.8,84.2,55.2,52.1,17.2
Victor Oladipo,53.8,58.5,33.8,71.6,60.4,57,18.8,47.6,10.7,44.5,48.3,35.3,80,54,49.6,17.4
Kelly Olynyk,59.4,63.4,33.3,70.9,64.1,61.6,13.2,50.1,8.9,48.1,54.2,37.1,75,57.7,54.7,9.9
Kentavious Caldwell-Pope,41.5,50.4,33.9,75.2,54.3,50.7,53.9,30.7,15.8,40.9,46.2,34.5,78.6,52,48.7,12
Tim Hardaway,42.5,50,34.3,72.4,53.9,50.7,47.5,30.8,14.3,42.5,50.3,34.4,80.6,54.4,50.9,12.1
Allen Crabbe,44.6,50,38.2,81.9,57.1,53.3,45.8,26.8,15.7,43.9,48.5,39.7,84.9,57.1,54.2,9.5
Tony Snell,42.1,48,38,82.1,57.1,53.3,58.8,27.2,9.2,42,47.4,38,80.9,54.8,52.9,6.3
Trey Burke,45,49.9,36.7,77.7,55.6,51.9,37.4,30,16.9,40.4,44.1,33.9,79.1,49,46.6,10.9
Reggie Bullock,43.9,51.7,38.7,72,56.8,55.5,59.6,14.5,9.9,44.8,50.1,40.3,79.8,57.1,55.8,5.5
Ben McLemore,49.5,55.3,42,87,63.3,58.6,43.5,34.5,15.9,41.7,46.8,35.1,78.5,52.7,49.4,9.1
Isaiah Canaan,45,48.3,41.9,80.3,60.6,55.8,51.4,42,15.5,36.9,39.9,35.1,83.9,52.4,48,8.4
