Player,FG%,2P%,3P%,FT%,TS%,eFG%,PTS/G
Jayson Tatum,47.5,49.2,43.4,82.6,58.6,53.8,13.9
Donovan Mitchell,43.7,50.2,34,80.5,54.1,50.6,20.5
Kyle Kuzma,45,51.1,36.6,70.7,54.9,52.7,16.1
Josh Hart,46.9,55.1,39.6,70.2,59.6,57.3,7.9
Lauri Markkanen,43.4,49.7,36.2,84.3,55.2,51.8,15.2
OG Anunoby,47.1,60.4,37.1,62.9,58.7,57.7,5.9
Luke Kennard,44.3,46.3,41.5,85.5,56,53,7.6
Lonzo Ball,36,42,30.5,45.1,44.4,44,10.2
Dillon Brooks,44,48.4,35.6,74.7,53.1,50.1,11
Tyler Dorsey,37.7,39.3,36.2,71.4,49.4,47.1,7.2
Malik Monk,36,38.5,34.2,84.2,47.7,45.8,6.7
Dennis Smith,39.5,43.6,31.3,69.4,47.3,44.7,15.2
Malcolm Brogdon,46.9,50.3,39.5,87.2,56.5,53.1,11.3
Jamal Murray,43.2,48.8,35.9,89.8,55.3,51,13.3
Jaylen Brown,46.1,50.7,37.9,65.8,55.4,52.9,10.4
Buddy Hield,43.7,45.9,41.2,86,55,53.2,12
Caris LeVert,44,50.6,33.6,71.4,53.5,50.5,10.4
Denzel Valentine,39.9,43.4,37.4,75.4,51.7,50.6,8
Taurean Prince,42,45.6,37.4,82.5,54.1,50.3,10.6
Karl-Anthony Towns,54.3,57.5,38.7,83.6,61.8,57.6,21.6
Josh Richardson,43.4,47.3,37.6,78.7,53.6,51,10.3
Frank Kaminsky,41.2,45.7,34.7,76.5,52,48.3,10
Terry Rozier,37.7,39.5,35.5,77.3,48.8,45.9,7.2
Devin Booker,42.6,45.5,36.5,84.9,54.2,48.5,19.8
D'Angelo Russell,40.9,45.5,34.4,75.4,51.1,48,14.6
Andrew Wiggins,44.7,47.2,33,74.1,52.6,47.6,19.7
Jordan Clarkson,44.3,48.8,33.9,80.7,52.7,49.4,14.1
Nik Stauskas,38.6,43.5,34.9,80.1,52.4,48.6,7
Doug McDermott,45.2,48.5,40.3,82.2,56,53.5,7.9
Marcus Smart,36,42.2,29.3,75.6,48,43.1,9.4
Gary Harris,46.9,53.9,37.1,80.3,57.4,54.6,12.3
Rodney Hood,41.9,46.1,36.9,82.8,53.6,50.3,13
Zach LaVine,43.7,47,37.3,82,54,50.1,14
Joe Harris,45.9,54.8,40,77.4,59.8,57.9,7.6
Spencer Dinwiddie,38.7,44.6,31.5,79.8,52,45.8,8.9
Otto Porter,48.7,53.4,40.4,78.9,58.3,56.1,10.5
C.J. McCollum,45.4,47.6,40.8,84.2,55.2,52.1,17.2
Victor Oladipo,44.5,48.3,35.3,80,54,49.6,17.4
Kelly Olynyk,48.1,54.2,37.1,75,57.7,54.7,9.9
Kentavious Caldwell-Pope,40.9,46.2,34.5,78.6,52,48.7,12
Tim Hardaway,42.5,50.3,34.4,80.6,54.4,50.9,12.1
Allen Crabbe,43.9,48.5,39.7,84.9,57.1,54.2,9.5
Tony Snell,42,47.4,38,80.9,54.8,52.9,6.3
Trey Burke,40.4,44.1,33.9,79.1,49,46.6,10.9
Reggie Bullock,44.8,50.1,40.3,79.8,57.1,55.8,5.5
Ben McLemore,41.7,46.8,35.1,78.5,52.7,49.4,9.1
Isaiah Canaan,36.9,39.9,35.1,83.9,52.4,48,8.4
